teks_bersih,sentimen
tidak bantu banget bantu nya,Positif
bgus,Netral
matapp,Netral
mohon mebgaktif kan fitur dana cicil akun sya,Netral
ngolake aplikasi dana ika ida pcak pakai,Netral
sangat baik,Netral
donlod di buka kok beku ksku kayak patung sekali tanggap muncul tulis dana henti bahaya gmn kld saldo juta yaa kalau tidak di buka begini padahal maka aplikasi sdah thun lebih,Positif
bagus,Positif
aktifitas dana tidak buka,Netral
cukup baik sesuai harap,Netral
pake lama masuk akun pakai segala scan wajah minta nomor terus ikut langkah akun scan wajah masuk tidak muncul muncul warna putih terus baik,Netral
godd,Netral
bantu acc dana cicil,Netral
fitur dana cicil tidak keluar,Netral
dana cicil tidak muncul,Netral
tolongg dong ini kok tidak bisaa isi ulang game aplikasi lagi yaa padahll uang udh banyak tpii kok rusak yaa gimnaa apa akuu tidak punya ktp di bawah umr ini gimnaa tolong baik yaa min,Positif
bagus,Positif
bagus,Positif
transaksi lebih mudah sangat bantu sya krreeeeen,Positif
jadi males gunain mau bagus up aja ada tugas belum transaksi transaksi lain,Positif
baguss,Positif
baik,Positif
thanks dana lancar sekarang moga depan makin bagus,Positif
bagus,Positif
bagus,Positif
bagus,Positif
kata istal buat baru malah gitu aja koneksi jaring hilang aplikasi apa begini koneksi jaring terus putus kecuwali pake wifi hosport takbisa disetabilkan hapus data dari aplikasi dana buat buruk aja coba klu pake wifi dihospot normal yapi klu pake data seluler kendala bikin kesal aja lebih baik hapus data dari dana oke,Negatif
baik stabil,Netral
sangat sangattt bantu pisann pokonamah dana is the best,Positif
sangat baik transaksi,Netral
dana buruk sulit mau ganti kartu nya kalau dah lapor di paham tidak buruk bangat tidak mao pake,Negatif
dana cicil belum sedia terus padahal dana keluar juta lebih,Netral
gagal transfer chat aplikasi dana via chat ana malah paksa jawab isi uang apa padahal masalah transfer keluar jelas ulang ulang chatbot tanya isi uang apa percuma tidak solusi chatbot jawab tidak sesuai tanya tidak sesuai konteks tanya tidak solusi,Negatif
sangat manfaat,Netral
sangat manfaat terima kasih,Netral
puas pake aplikasi dana,Positif
bgus,Netral
nice and useful,Netral
bagus,Positif
bagus simpel,Positif
tidak dapat dana cicil sini tidak pernah dapat ken dapat dana cicil,Netral
ingin akun dana di ikan limit dana cicil memang lambat bayar tagih ini sangat berat limit dana cicil sudah tidak guna saya ingin pt espay indonesia laku kece ulang akun saya nama muh haykal fath terimakasih nya,Negatif
dana cicil tidak pakai padahal belum di pakai tagih sudah di bayar malah tidak di guna,Netral
sangat muas,Netral
bagus,Positif
kok ngak laku transaksi isi pulsa bayar token listrik,Positif
bagus,Positif
bagus,Positif
bagus gampang banget guna cuma kadang aga ngeleg dikit tapi bagus sih aplikasi soal tampil nya mudah erti,Positif
gamau buka eror apa gmna,Netral
terimakasih atas karya nya,Netral
layan dana sangat buruk sekali selesai masalah tidak cepat terlalu tele tele respond layan dana sangat selow respond sangat buruk,Negatif
bgus,Netral
bagus,Positif
public,Netral
dana cicil,Netral
oke,Positif
dana cicil,Netral
moga dana cicil bisa guna min,Netral
aplikasi tidak aman simpan duit uang curi orang verivikasi muka hilang uang aplikasi,Netral
baik knpa tidak masuk susah banget pakai kode otp biasa nya tiap masuk beda hp langsung masuk kok sekarang malah makin ribet udh masuk sandi udh poto selpi tetep aja di minta kode aneh guna verifikasi wajah kali kali tetep aja pakai kode otp biasa jelas dana sekarang,Positif
sangat mudah guna responsif sekali mantaps sekali pakai dana bebas tugas kali,Positif
mudah guna tapi pinjam tidak,Positif
apalh bayar sendiri pdahal tidak pernah minta bayar bngun tidur hilng duit bayar,Netral
verifikasi wajah gagal terus padahal guna muka tapi tidak saran di baik,Negatif
mudah d guna moga aman nyimpan transaksi d dana,Positif
bagus,Positif
sukses selalu,Netral
g aktif dana dng ktp,Netral
dana cicil,Netral
bagus,Positif
dulu masuk verifikasi nya lalu email sekarang kok tidak kan di jelasin no hp nya hilang,Netral
bagus,Positif
mantuuulll,Netral
makin lama makin tolol ni aplikasi masa duit gua tibatiba ilang sendiri padahal gua tidak transaksi apa tiba tulis transaksi makin lama makin gajelas,Negatif
dong fitur emas nya baik masa tidak koneksi terus kalau mau buka,Netral
ajar,Netral
mau uang,Netral
bagus,Positif
sangat bagus,Positif
dana end the best,Netral
aplikasi baharu malah sering rusak loading terus,Negatif
kasih rating kk,Netral
sangat bagus,Positif
bagus,Positif
mudah guna transfer semua bank mau walet,Positif
akun kenapa beku lapor tunggu hari sekarang sudah minggu lebih belum bisa kirim uang pun bagus up,Positif
pernah ganti nomor telfon gilir mau klaim nomor baru malah tidak sama sekali selamat tinggal dana uninstal,Netral
baik,Netral
sangat bagus praktis,Positif
really like it,Netral
bagus,Positif
makin buruk ah bagus up sama kirim d kenain biaya admn terud,Netral
